192.170.1.1 - - [25/Feb/2020:14:08:27 +0800] "GET /go.php?pid=4745&m=db HTTP/1.1" 404 27 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36"
192.170.1.1 - - [25/Feb/2020:14:08:55 +0800] "POST /interface.php?m=co&client_sign=%7B03750EC0-95C0-548F-A631-CDAA73184143%7D&product_id=4745&version=11.6.4&email=123@mail.com&lang=en_us&type=1&cc=E7C1C30711BA166F9B07CBD90085B6C0&interface_version=1.1 HTTP/1.1" 404 27 "-" "%E5%85%A8%E8%83%BD%E6%A0%BC%E5%BC%8F%E8%BD%AC%E6%8D%A2%E5%99%A8/11.6.4 CFNetwork/978.0.7 Darwin/18.7.0 (x86_64)"
192.170.1.1 - - [25/Feb/2020:14:45:22 +0800] "POST /interface.php?m=co&client_sign=%7B03750EC0-95C0-548F-A631-CDAA73184143%7D&product_id=4745&version=11.6.4&email=123@mail.com&lang=en_us&type=0&cc=E7C1C30711BA166F9B07CBD90085B6C0&interface_version=1.1 HTTP/1.1" 404 27 "-" "%E5%85%A8%E8%83%BD%E6%A0%BC%E5%BC%8F%E8%BD%AC%E6%8D%A2%E5%99%A8/11.6.4 CFNetwork/978.0.7 Darwin/18.7.0 (x86_64)"
192.170.1.1 - - [25/Feb/2020:14:45:24 +0800] "GET /GetVersion.php HTTP/1.1" 404 27 "-" "%E5%85%A8%E8%83%BD%E6%A0%BC%E5%BC%8F%E8%BD%AC%E6%8D%A2%E5%99%A8/11.6.4 CFNetwork/978.0.7 Darwin/18.7.0 (x86_64)"
192.170.1.1 - - [25/Feb/2020:14:45:24 +0800] "GET /go.php?pid=4745&m=c17 HTTP/1.1" 404 27 "-" "%E5%85%A8%E8%83%BD%E6%A0%BC%E5%BC%8F%E8%BD%AC%E6%8D%A2%E5%99%A8/11.6.4 CFNetwork/978.0.7 Darwin/18.7.0 (x86_64)"
192.170.1.1 - - [25/Feb/2020:14:45:27 +0800] "GET /go.php?pid=4745&m=ck&num=12 HTTP/1.1" 404 27 "-" "%E5%85%A8%E8%83%BD%E6%A0%BC%E5%BC%8F%E8%BD%AC%E6%8D%A2%E5%99%A8/11.6.4 CFNetwork/978.0.7 Darwin/18.7.0 (x86_64)"
192.170.1.1 - - [25/Feb/2020:14:45:27 +0800] "GET /go.php?pid=4745&m=ck&num=12 HTTP/1.1" 404 27 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko)"
192.170.1.1 - - [25/Feb/2020:14:57:33 +0800] "POST /interface.php?m=co&client_sign=%7B03750EC0-95C0-548F-A631-CDAA73184143%7D&product_id=4745&version=11.6.4&email=123@mail.com&lang=en_us&type=0&cc=E7C1C30711BA166F9B07CBD90085B6C0&interface_version=1.1 HTTP/1.1" 404 27 "-" "%E5%85%A8%E8%83%BD%E6%A0%BC%E5%BC%8F%E8%BD%AC%E6%8D%A2%E5%99%A8/11.6.4 CFNetwork/978.0.7 Darwin/18.7.0 (x86_64)"
192.170.1.1 - - [25/Feb/2020:14:57:36 +0800] "GET /GetVersion.php HTTP/1.1" 404 27 "-" "%E5%85%A8%E8%83%BD%E6%A0%BC%E5%BC%8F%E8%BD%AC%E6%8D%A2%E5%99%A8/11.6.4 CFNetwork/978.0.7 Darwin/18.7.0 (x86_64)"
192.170.1.1 - - [25/Feb/2020:14:57:36 +0800] "GET /go.php?pid=4745&m=c17 HTTP/1.1" 404 27 "-" "%E5%85%A8%E8%83%BD%E6%A0%BC%E5%BC%8F%E8%BD%AC%E6%8D%A2%E5%99%A8/11.6.4 CFNetwork/978.0.7 Darwin/18.7.0 (x86_64)"
192.170.1.1 - - [25/Feb/2020:14:57:39 +0800] "GET /go.php?pid=4745&m=ck&num=12 HTTP/1.1" 404 27 "-" "%E5%85%A8%E8%83%BD%E6%A0%BC%E5%BC%8F%E8%BD%AC%E6%8D%A2%E5%99%A8/11.6.4 CFNetwork/978.0.7 Darwin/18.7.0 (x86_64)"
